Card Name,Fair Value,Confidence,Num Sales,Top 3 Prices,Min,Max,Median
2018-19 Upper Deck Parkhurst - [Base] #331 - Rookies - Elias Pettersson,$144.57,low,1,$144.57,$144.57,$144.57,
2019-20 Upper Deck Parkhurst - [Base] #317 - Rookies - Noah Dobson,$9.61,low,1,$9.61,$9.61,$9.61,
2019-20 Upper Deck Parkhurst - [Base] #320 - Rookies - Jack Hughes,$23.26,high,13,$26.54 | $23.26 | $8.48,$7.97,$35.9,
2020-21 O-Pee-Chee Platinum - [Base] - Rainbow #157 - Marquee Rookies - Thomas Harley,$8.99,high,2,$8.99 | $13.57,$8.99,$13.57,
2020-21 O-Pee-Chee Platinum - Retro #R-59 - Rookies - Brandon Hagel,$2.92,high,1,$2.92,$2.92,$2.92,
2022-23 Upper Deck Extended Series - [Base] #705 - Young Guns - Jonatan Berggren,$8.74,high,1,$8.74,$8.74,$8.74,
2023-24 Upper Deck Series 1 - [Base] #201 - Young Guns - Matthew Coronato,$4.91,high,23,$3.92 | $4.91 | $3.98,$1.99,$9.87,
2023-24 Upper Deck Series 1 - [Base] #241 - Young Guns - Marco Kasper,$10.65,medium,36,$10.65 | $10.64 | $17.48,$3.13,$17.48,
2023-24 Upper Deck Series 1 - [Base] #228 - Young Guns - Simon Edvinsson,$5.64,high,39,$2.99 | $12.64 | $5.64,$2.73,$13.64,
2023-24 Upper Deck Series 1 - [Base] #221 - Young Guns - Luke Evangelista,$5.03,high,46,$5.48 | $5.03 | $3.19,$1.5,$8.41,
2023-24 Upper Deck Series 1 - [Base] #213 - Young Guns - Will Cuylle,$9.64,high,39,$6.15 | $5.9 | $9.64,$2.0,$15.0,
2023-24 Upper Deck Series 1 - [Base] - Outburst Silver #44 - Mikko Rantanen,$98.34,high,1,$98.34,$98.34,$98.34,
2023-24 Upper Deck Series 1 - [Base] - Deluxe #144 - Tomas Hertl #1/250,$10.00,manual,,,,,
2022-23 Upper Deck Synergy - Cranked Up - Purple #CU-SC - Sidney Crosby #70/99,$6.85,high,2,$6.85 | $17.91,$6.85,$17.91,
2022-23 Upper Deck Synergy - Light Up The Night #LN-CP - Carey Price #754/899,$12.25,medium,1,$12.25,$12.25,$12.25,
"2023 Upper Deck All-Sports Game Dated Moments - [Base] #66 - (Dec. 26, 2023) - Macklin Celebrini Scores First Goal of the 2024 World Junior Championship",$17.64,high,15,$19.46 | $15.15 | $17.64,$11.93,$24.71,
2022-23 Skybox Metal Universe - Hardware #HW-4 - Nazem Kadri,$22.49,high,1,$22.49,$22.49,$22.49,
2023-24 Upper Deck Series 2 - [Base] #492 - Young Guns - Dmitri Voronkov,$2.0,high,22,$11.24 | $2.0 | $3.58,$2.0,$14.87,
"2023-24 Upper Deck Series 2 - [Base] #500 - Young Guns Checklist - Connor Bedard, Leo Carlsson",$8.31,high,33,$5.32 | $8.31 | $9.51,$2.25,$11.69,
2023-24 Upper Deck Series 2 - [Base] #456 - Young Guns - Jackson LaCombe,$7.99,high,91,$6.57 | $7.99 | $5.47,$1.8,$14.92,
2024 Upper Deck - UD Retro Rookies #RR-10 - Corey Conners,$10.00,manual,0,,$5.0,$5.0,
2022-23 O-Pee-Chee Platinum - [Base] - Aquamarine #239 - Marquee Rookies - Noah Cates #15/149,$5.34,estimated,1,$5.34,$5.34,$5.34,
2023-24 Upper Deck Extended Series - [Base] #724 - Young Guns - Dennis Hildeby,$10.23,high,4,$10.23 | $11.4 | $8.03,$8.03,$12.43,
2022-23 Upper Deck Fleer Ultra - 30th Anniversary #A-10 - Felix Potvin,$14.21,high,1,$14.21,$14.21,$14.21,
2024-25 Upper Deck UD Rookie Debut - [Base] #9 - Lane Hutson,$24.74,high,9,$24.74 | $35.81 | $22.79,$16.02,$36.56,
2024-25 Upper Deck Series 1 - UD Canvas #C-117 - Young Guns - Frank Nazar,$45.48,high,4,$45.48 | $29.79 | $20.0,$20.0,$45.48,
2024-25 Upper Deck Series 1 - [Base] #208 - Young Guns - Bradly Nadeau,$5.47,high,61,$4.21 | $3.92 | $5.47,$1.75,$11.99,
2024-25 Upper Deck Series 1 - [Base] #216 - Young Guns - Matt Rempe,$7.28,high,70,$7.27 | $7.28 | $7.27,$1.99,$14.73,
2024-25 Upper Deck Series 1 - [Base] #233 - Young Guns - Josh Doan,$9.86,high,138,$9.01 | $9.86 | $4.29,$2.5,$20.23,
"2023-24 Upper Deck Synergy - Synergistic Duos Star-Legend - Green #SD-8 - Auston Matthews, Doug Gilmour #179/399",$10.24,low,2,$10.24 | $11.92,$10.24,$11.92,
2023-24 Upper Deck Series 2 - [Base] #451 - Young Guns - Connor Bedard [PSA 9 MINT],$273.77,high,50,$396.31 | $268.77 | $273.77,$243.5,$396.31,
2024-25 Upper Deck Game Dated Moments - Rookie of the Month #R-1 - October - Matvei Michkov,$21.24,low,2,$21.24 | $14.44,$14.44,$21.24,
2023-24 Upper Deck Series 1 - UD Canvas #C103 - Young Guns - Matthew Knies [PSA 9 MINT],$52.28,low,4,$54.47 | $52.28 | $204.74,$52.28,$204.74,
2024-25 Upper Deck Series 2 - [Base] - Outburst #463 - Young Guns - Maxim Tsyplakov,$3.0,high,4,$7.49 | $3.0 | $14.49,$3.0,$14.49,
2024-25 Upper Deck Series 2 - [Base] - Outburst #380 - Sidney Crosby,$29.63,high,14,$29.53 | $29.63 | $15.0,$10.97,$38.01,
2024-25 Upper Deck Series 2 - UD Canvas #C241 - Retired - Gordie Howe,$19.26,high,20,$17.21 | $19.26 | $18.24,$5.8,$19.26,
2024-25 Upper Deck Series 2 - UD Canvas #C256 - Program of Excellence - Olen Zellweger,$8.03,high,1,$8.03,$8.03,$8.03,
2023-24 O-Pee-Chee Platinum - [Base] - Rainbow Color Wheel #201 - Marquee Rookies - Connor Bedard,$55.88,low,5,$55.88 | $82.0 | $96.15,$55.88,$96.15,
2023-24 O-Pee-Chee Platinum - [Base] - Rainbow Color Wheel #224 - Marquee Rookies - Mason Lohrei,$5.85,low,8,$3.28 | $4.38 | $5.85,$2.92,$5.85,
2023-24 O-Pee-Chee Platinum - Retro #R-100 - Rookie - Connor Bedard,$31.43,high,2,$31.43 | $30.46,$30.46,$31.43,
2024-25 Upper Deck Series 2 - UD Portraits #P37 - Macklin Celebrini,$25.52,high,222,$25.52 | $25.51 | $54.75,$7.31,$54.75,
2024-25 Upper Deck Series 2 - UD Canvas #C215 - Young Guns - Jackson Blake,$23.98,high,9,$23.98 | $19.47 | $17.11,$6.49,$23.98,
2024-25 Upper Deck Series 2 - UD Canvas #C221 - Young Guns - Adam Klapka,$19.47,high,5,$12.25 | $19.47 | $12.25,$5.84,$19.47,
2024-25 Upper Deck Series 2 - UD Canvas #C172 - Patrick Kane,$14.6,high,27,$14.6 | $23.45 | $14.6,$6.97,$23.45,
2024-25 Upper Deck Series 2 - [Base] #461 - Young Guns - Oliver Kapanen,$18.02,high,196,$16.25 | $18.02 | $23.98,$5.66,$46.01,
2024-25 Upper Deck Series 2 - [Base] #473 - Young Guns - Devin Cooley,$10.57,high,65,$10.57 | $4.01 | $3.65,$1.99,$13.6,
2024-25 Upper Deck Series 2 - [Base] #474 - Young Guns - Rutger McGroarty,$4.0,high,91,$4.0 | $3.75 | $4.38,$1.86,$13.44,
2024-25 Upper Deck Series 2 - [Base] #478 - Young Guns - Conor Geekie,$3.98,high,77,$5.98 | $3.98 | $2.55,$1.4,$11.69,
"2024-25 Upper Deck Series 2 - [Base] #497 - Young Guns - Logan Mailloux, Lane Hutson",$2.69,high,16,$2.69 | $3.29 | $3.65,$1.99,$6.0,
"2024-25 Upper Deck Series 2 - [Base] #498 - Young Guns - Olen Zellweger, Cutter Gauthier",$13.22,high,14,$11.97 | $13.22 | $19.47,$4.69,$19.47,
"2024-25 Upper Deck Series 2 - [Base] #499 - Young Guns - Macklin Celebrini, Will Smith",$55.77,high,115,$39.02 | $36.12 | $55.77,$8.77,$55.77,
"2024-25 Upper Deck Series 2 - [Base] #500 - Young Guns Checklist - Macklin Celebrini, Matvei Michkov",$18.1,high,22,$18.1 | $9.1 | $9.5,$3.25,$18.1,
2024-25 Upper Deck Series 2 - [Base] - Silver Foil #313 - Leon Draisaitl,$19.47,low,2,$19.47 | $8.04,$8.04,$19.47,
2023-24 O-Pee-Chee Platinum - [Base] - Red Prism #281 - Marquee Rookies - Hardy Haman Aktell #109/199,$6.55,low,2,$6.55 | $13.61,$6.55,$13.61,
2023-24 O-Pee-Chee Platinum - [Base] - Violet Pixels #53 - Nick Suzuki #116/299,$10.14,high,1,$10.14,$10.14,$10.14,
2023-24 O-Pee-Chee Platinum - [Base] - Arctic Freeze #177 - Nazem Kadri #44/99,$7.15,low,4,$9.47 | $7.15 | $14.25,$5.38,$14.25,
2023-24 O-Pee-Chee Platinum - [Base] - Cosmic #256 - Marquee Rookies - John Beecher #58/65,$2.00,manual,,,,,
2023-24 O-Pee-Chee Platinum - Rookie Autographs - Rainbow #R-HT - Henry Thrun,$13.92,low,5,$20.6 | $11.19 | $13.92,$11.19,$20.6,
2024 Upper Deck PWHL 1st Edition - Dazzlers #DZ-8 - Loren Gabel,$6.57,high,4,$6.57 | $13.49 | $14.56,$6.57,$14.56,
2024 Upper Deck PWHL 1st Edition - Dazzlers #DZ-10 - Emily Clark,$16.8,high,5,$11.15 | $16.8 | $14.51,$6.57,$16.8,
2024 Upper Deck PWHL 1st Edition - Dazzlers #DZ-11 - Jocelyne Larocque,$12.6,high,4,$3.84 | $14.6 | $12.6,$3.84,$14.6,
2024 Upper Deck PWHL 1st Edition - Dazzlers #DZ-12 - Rebecca Leslie,$14.6,high,5,$14.6 | $14.6 | $14.6,$6.57,$14.6,
2024 Upper Deck PWHL 1st Edition - Dazzlers #DZ-13 - Jamie Lee Rattray,$14.61,high,3,$14.61 | $14.6 | $12.72,$12.72,$14.61,
2024 Upper Deck PWHL 1st Edition - Dazzlers #DZ-15 - Chloe Aurard,$14.6,high,6,$14.6 | $12.6 | $12.6,$6.57,$14.6,
2024 Upper Deck PWHL 1st Edition - Dazzlers #DZ-19 - Aerin Frankel,$5.3,high,8,$5.3 | $8.77 | $29.62,$5.3,$29.62,
2024 Upper Deck PWHL 1st Edition - UD Portraits #P-2 - Marie-Philip Poulin,$21.24,high,7,$21.24 | $21.23 | $12.06,$12.06,$21.24,
2024 Upper Deck PWHL 1st Edition - [Base] #52 - Young Guns - Grace Zumwinkle,$17.68,high,14,$19.76 | $17.54 | $17.68,$9.99,$40.48,
2024 Upper Deck PWHL 1st Edition - [Base] #54 - Young Guns - Alex Carpenter,$27.99,high,9,$17.22 | $27.99 | $27.76,$10.32,$27.99,
2024 Upper Deck PWHL 1st Edition - [Base] #55 - Young Guns - Brianne Jenner,$19.13,high,7,$19.13 | $28.34 | $12.42,$12.42,$28.34,
2024 Upper Deck PWHL 1st Edition - [Base] #67 - Young Guns - Gabbie Hughes,$17.03,high,12,$17.03 | $12.42 | $17.38,$6.5,$22.42,
2024-25 Upper Deck Series 2 - [Base] - Deluxe #454 - Young Guns - Brandon Scanlin #218/250,$6.01,low,4,$6.01 | $4.86 | $4.78,$3.05,$6.01,
2024-25 Upper Deck Series 2 - [Base] - Deluxe #493 - Young Guns - Brandon Bussi #199/250,$93.97,high,2,$93.97 | $38.15,$38.15,$93.97,
2023-24 SPx - Signature Fabrics - Spectrum Patch #SF-JT - John Tavares #2/5,$50.00,manual,0,,$5.0,$5.0,
2024-25 Upper Deck Series 2 - [Base] #492 - Young Guns - Matvei Michkov,$19.84,high,214,$31.8 | $19.84 | $37.99,$13.5,$108.0,
2024-25 Upper Deck Series 2 - UD Canvas - Black & White #C257 - Program of Excellence - Joshua Roy,$2.93,high,4,$4.57 | $4.03 | $2.93,$2.93,$11.31,
"2024-25 4 Nations Face-Off - Game Dated Moments #2 - (Feb. 12, 2025) - Crosby Dishes out Three Assists as Canada Tops Sweden at the 4 Nations Face-Off™",$5.00,manual,0,,$5.0,$5.0,
"2024-25 4 Nations Face-Off - Game Dated Moments - Silver #2 - (Feb. 12, 2025) - Crosby Dishes out Three Assists as Canada Tops Sweden at the 4 Nations Face-Off™",$5.00,manual,0,,$5.0,$5.0,
"2024-25 4 Nations Face-Off - Game Dated Moments - Silver #20 - (Feb. 20, 2025) - McDavid Scores in Overtime, Lifts Canada to Win Over U.S. in the 4 Nations Face-Off™ Championship Game",$6.56,low,3,$6.22 | $12.8 | $6.56,$6.22,$12.8,
2023-24 Upper Deck Fleer Ultra - 2053-54 Fleer Ultra #U-38 - Connor McDavid,$14.32,high,1,$14.32,$14.32,$14.32,
2023-24 O-Pee-Chee Platinum - [Base] - Violet Pixels #236 - Marquee Rookies - Connor Zary [Passed Pre‑Grade Review] #168/299,$2.37,low,2,$2.37 | $2.7,$2.37,$2.7,
2023-24 Upper Deck Parkhurst - Prominent Prospects #PP-CB - Connor Bedard [Passed Pre‑Grade Review],$16.81,medium,4,$17.22 | $16.81 | $16.8,$16.8,$17.22,
2024 Upper Deck PWHL 1st Edition - [Base] - Exclusives #7 - Maddie Rooney #72/100,$39.47,high,1,$39.47,$39.47,$39.47,
2024 Upper Deck PWHL 1st Edition - [Base] - Exclusives #3 - Elaine Chuli #68/100,$0.45,estimated,1,$0.45,$0.45,$0.45,
2024 Upper Deck PWHL 1st Edition - [Base] - Exclusives #31 - Samantha Cogan #43/100,$0.45,estimated,1,$0.45,$0.45,$0.45,
2024 Upper Deck PWHL 1st Edition - [Base] - Exclusives #15 - Akane Shiga #15/100,$17.02,high,1,$17.02,$17.02,$17.02,
2024 Upper Deck Team Canada Juniors - [Base] - Signatures #139 - Program of Excellence - Liam Greentree,$8.04,high,1,$8.04,$8.04,$8.04,
2024 Upper Deck Team Canada Juniors - [Base] - Jersey #24 - Liam Greentree,$8.49,high,4,$8.49 | $14.97 | $13.92,$8.49,$14.97,
2024-25 Upper Deck Extended Series - UD Canvas #C369 - Young Guns - Lian Bichsel,$6.5,high,2,$6.5 | $14.19,$6.5,$14.19,
2021-22 O-Pee-Chee Platinum - [Base] - Rainbow Color Wheel #284 - Marquee Rookies - Seth Jarvis,$4.48,low,19,$10.35 | $4.48 | $10.39,$4.48,$27.37,
2024 Upper Deck PWHL 1st Edition - [Base] #60 - Young Guns - Ann-Renee Desbiens,$39.85,high,10,$29.94 | $39.85 | $42.04,$12.42,$42.55,
2024 Upper Deck PWHL 1st Edition - [Base] #65 - Young Guns - Marie-Philip Poulin,$100.15,high,16,$86.77 | $100.15 | $115.59,$54.0,$188.65,
"2025 Upper Deck GR8 Moments - [Base] - Red #GR-6 - (Jun. 7, 2018) - Alex Ovechkin Lifts Stanley Cup",$12.92,high,3,$12.92 | $15.98 | $12.6,$12.6,$15.98,
"2025 Upper Deck GR8 Moments - [Base] - Red #GR-4 - (Jan. 21, 2010) - Alex Ovechkin Reaches 250 Goals",$15.98,high,1,$15.98,$15.98,$15.98,
"2025 Upper Deck GR8 Moments - [Base] - Red #GR-2 - (Oct. 12, 2007) - Alex Ovechkin Scores 100th Goal",$15.98,high,1,$15.98,$15.98,$15.98,
